Date & Time,Flow (cfs),Location,Year
9/29/1971,295,"Rio Grande Below Cochiti Dam, NM",1971
9/30/1971,1110,"Rio Grande Below Cochiti Dam, NM",1971
10/1/1971,1590,"Rio Grande Below Cochiti Dam, NM",1971
10/2/1971,2040,"Rio Grande Below Cochiti Dam, NM",1971
10/3/1971,1160,"Rio Grande Below Cochiti Dam, NM",1971
10/4/1971,736,"Rio Grande Below Cochiti Dam, NM",1971
10/5/1971,816,"Rio Grande Below Cochiti Dam, NM",1971
10/6/1971,880,"Rio Grande Below Cochiti Dam, NM",1971
10/7/1971,885,"Rio Grande Below Cochiti Dam, NM",1971
10/8/1971,803,"Rio Grande Below Cochiti Dam, NM",1971
10/9/1971,729,"Rio Grande Below Cochiti Dam, NM",1971
10/10/1971,705,"Rio Grande Below Cochiti Dam, NM",1971
10/11/1971,689,"Rio Grande Below Cochiti Dam, NM",1971
10/12/1971,692,"Rio Grande Below Cochiti Dam, NM",1971
10/13/1971,669,"Rio Grande Below Cochiti Dam, NM",1971
10/14/1971,648,"Rio Grande Below Cochiti Dam, NM",1971
10/15/1971,662,"Rio Grande Below Cochiti Dam, NM",1971
10/16/1971,684,"Rio Grande Below Cochiti Dam, NM",1971
10/17/1971,690,"Rio Grande Below Cochiti Dam, NM",1971
10/18/1971,689,"Rio Grande Below Cochiti Dam, NM",1971
10/19/1971,621,"Rio Grande Below Cochiti Dam, NM",1971
10/20/1971,588,"Rio Grande Below Cochiti Dam, NM",1971
10/21/1971,612,"Rio Grande Below Cochiti Dam, NM",1971
10/22/1971,599,"Rio Grande Below Cochiti Dam, NM",1971
10/23/1971,606,"Rio Grande Below Cochiti Dam, NM",1971
10/24/1971,642,"Rio Grande Below Cochiti Dam, NM",1971
10/25/1971,782,"Rio Grande Below Cochiti Dam, NM",1971
10/26/1971,849,"Rio Grande Below Cochiti Dam, NM",1971
10/27/1971,870,"Rio Grande Below Cochiti Dam, NM",1971
10/28/1971,770,"Rio Grande Below Cochiti Dam, NM",1971
10/29/1971,720,"Rio Grande Below Cochiti Dam, NM",1971
10/30/1971,760,"Rio Grande Below Cochiti Dam, NM",1971
10/31/1971,750,"Rio Grande Below Cochiti Dam, NM",1971
11/1/1971,720,"Rio Grande Below Cochiti Dam, NM",1971
11/2/1971,680,"Rio Grande Below Cochiti Dam, NM",1971
11/3/1971,660,"Rio Grande Below Cochiti Dam, NM",1971
11/4/1971,1000,"Rio Grande Below Cochiti Dam, NM",1971
11/5/1971,1200,"Rio Grande Below Cochiti Dam, NM",1971
11/6/1971,1500,"Rio Grande Below Cochiti Dam, NM",1971
11/7/1971,1700,"Rio Grande Below Cochiti Dam, NM",1971
11/8/1971,1700,"Rio Grande Below Cochiti Dam, NM",1971
11/9/1971,1650,"Rio Grande Below Cochiti Dam, NM",1971
11/10/1971,1580,"Rio Grande Below Cochiti Dam, NM",1971
11/11/1971,1560,"Rio Grande Below Cochiti Dam, NM",1971
11/12/1971,1570,"Rio Grande Below Cochiti Dam, NM",1971
11/13/1971,1610,"Rio Grande Below Cochiti Dam, NM",1971
11/14/1971,1570,"Rio Grande Below Cochiti Dam, NM",1971
11/15/1971,1580,"Rio Grande Below Cochiti Dam, NM",1971
11/16/1971,1660,"Rio Grande Below Cochiti Dam, NM",1971
11/17/1971,1380,"Rio Grande Below Cochiti Dam, NM",1971
11/18/1971,1130,"Rio Grande Below Cochiti Dam, NM",1971
11/19/1971,979,"Rio Grande Below Cochiti Dam, NM",1971
11/20/1971,906,"Rio Grande Below Cochiti Dam, NM",1971
11/21/1971,904,"Rio Grande Below Cochiti Dam, NM",1971
11/22/1971,862,"Rio Grande Below Cochiti Dam, NM",1971
11/23/1971,881,"Rio Grande Below Cochiti Dam, NM",1971
