Date & Time,Flow (cfs),Location,Year,,,
10/14/1927,2250,"Rio Grande at San Felipe, NM",1927,,,
10/15/1927,2190,"Rio Grande at San Felipe, NM",1927,,,
10/16/1927,2080,"Rio Grande at San Felipe, NM",1927,,,
10/17/1927,1900,"Rio Grande at San Felipe, NM",1927,,,
10/18/1927,1960,"Rio Grande at San Felipe, NM",1927,,,
10/19/1927,1860,"Rio Grande at San Felipe, NM",1927,,,
10/20/1927,1760,"Rio Grande at San Felipe, NM",1927,,,
10/21/1927,1700,"Rio Grande at San Felipe, NM",1927,,,
10/22/1927,1660,"Rio Grande at San Felipe, NM",1927,,,
10/23/1927,1610,"Rio Grande at San Felipe, NM",1927,,,
10/24/1927,1560,"Rio Grande at San Felipe, NM",1927,,,
10/25/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
10/26/1927,1520,"Rio Grande at San Felipe, NM",1927,,,
10/27/1927,1510,"Rio Grande at San Felipe, NM",1927,,,
10/28/1927,1500,"Rio Grande at San Felipe, NM",1927,,,
10/29/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
10/30/1927,1800,"Rio Grande at San Felipe, NM",1927,,,
10/31/1927,1630,"Rio Grande at San Felipe, NM",1927,,,
11/1/1927,1720,"Rio Grande at San Felipe, NM",1927,,,
11/2/1927,1660,"Rio Grande at San Felipe, NM",1927,,,
11/3/1927,1660,"Rio Grande at San Felipe, NM",1927,,,
11/4/1927,1490,"Rio Grande at San Felipe, NM",1927,,,
11/5/1927,1320,"Rio Grande at San Felipe, NM",1927,,,
11/6/1927,1320,"Rio Grande at San Felipe, NM",1927,,,
11/7/1927,1320,"Rio Grande at San Felipe, NM",1927,,,
11/8/1927,1360,"Rio Grande at San Felipe, NM",1927,,,
11/9/1927,1480,"Rio Grande at San Felipe, NM",1927,,,
11/10/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
11/11/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
11/12/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
11/13/1927,1520,"Rio Grande at San Felipe, NM",1927,,,
11/14/1927,1540,"Rio Grande at San Felipe, NM",1927,,,
11/15/1927,1490,"Rio Grande at San Felipe, NM",1927,,,
11/16/1927,1460,"Rio Grande at San Felipe, NM",1927,,,
11/17/1927,1450,"Rio Grande at San Felipe, NM",1927,,,
11/18/1927,1460,"Rio Grande at San Felipe, NM",1927,,,
11/19/1927,1340,"Rio Grande at San Felipe, NM",1927,,,
11/20/1927,1270,"Rio Grande at San Felipe, NM",1927,,,
11/21/1927,1310,"Rio Grande at San Felipe, NM",1927,,,
11/22/1927,1330,"Rio Grande at San Felipe, NM",1927,,,
11/23/1927,1310,"Rio Grande at San Felipe, NM",1927,,,
11/24/1927,1210,"Rio Grande at San Felipe, NM",1927,,,
11/25/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
11/26/1927,1180,"Rio Grande at San Felipe, NM",1927,,,
11/27/1927,1130,"Rio Grande at San Felipe, NM",1927,,,
11/28/1927,1180,"Rio Grande at San Felipe, NM",1927,,,
11/29/1927,1250,"Rio Grande at San Felipe, NM",1927,,,
11/30/1927,1150,"Rio Grande at San Felipe, NM",1927,,,
12/1/1927,1150,"Rio Grande at San Felipe, NM",1927,,,
12/2/1927,1100,"Rio Grande at San Felipe, NM",1927,,,
12/3/1927,1060,"Rio Grande at San Felipe, NM",1927,,,
12/4/1927,1040,"Rio Grande at San Felipe, NM",1927,,,
12/5/1927,1200,"Rio Grande at San Felipe, NM",1927,,,
12/6/1927,1050,"Rio Grande at San Felipe, NM",1927,,,
12/7/1927,961,"Rio Grande at San Felipe, NM",1927,,,
12/8/1927,873,"Rio Grande at San Felipe, NM",1927,,,
12/9/1927,785,"Rio Grande at San Felipe, NM",1927,,,
12/10/1927,697,"Rio Grande at San Felipe, NM",1927,,,
12/11/1927,724,"Rio Grande at San Felipe, NM",1927,,,
12/12/1927,965,"Rio Grande at San Felipe, NM",1927,,,
12/13/1927,1180,"Rio Grande at San Felipe, NM",1927,,,
12/14/1927,1240,"Rio Grande at San Felipe, NM",1927,,,
12/15/1927,1190,"Rio Grande at San Felipe, NM",1927,,,
12/16/1927,1050,"Rio Grande at San Felipe, NM",1927,,,
12/17/1927,915,"Rio Grande at San Felipe, NM",1927,,,
12/18/1927,922,"Rio Grande at San Felipe, NM",1927,,,
12/19/1927,929,"Rio Grande at San Felipe, NM",1927,,,
12/20/1927,936,"Rio Grande at San Felipe, NM",1927,,,
12/21/1927,944,"Rio Grande at San Felipe, NM",1927,,,
12/22/1927,951,"Rio Grande at San Felipe, NM",1927,,,
12/23/1927,958,"Rio Grande at San Felipe, NM",1927,,,
12/24/1927,965,"Rio Grande at San Felipe, NM",1927,,,
12/25/1927,995,"Rio Grande at San Felipe, NM",1927,,,
12/26/1927,1020,"Rio Grande at San Felipe, NM",1927,,,
12/27/1927,1060,"Rio Grande at San Felipe, NM",1927,,,
12/28/1927,1080,"Rio Grande at San Felipe, NM",1927,,,
12/29/1927,1120,"Rio Grande at San Felipe, NM",1927,,,
12/30/1927,1140,"Rio Grande at San Felipe, NM",1927,,,
12/31/1927,1180,"Rio Grande at San Felipe, NM",1927,,,
1/1/1928,837,"Rio Grande at San Felipe, NM",1928,,,
1/2/1928,837,"Rio Grande at San Felipe, NM",1928,,,
1/3/1928,837,"Rio Grande at San Felipe, NM",1928,,,
1/4/1928,837,"Rio Grande at San Felipe, NM",1928,,,
1/5/1928,837,"Rio Grande at San Felipe, NM",1928,,,
1/6/1928,837,"Rio Grande at San Felipe, NM",1928,,,
1/7/1928,980,"Rio Grande at San Felipe, NM",1928,,,
